,word,ls_word_acc,cr_word_acc,ls_word_count,cr_word_count
1330,banzai,0.0,0.0,1,1
1332,baptistery,0.0,0.0,1,1
1334,barbarism,0.0,100.0,1,1
1345,barras,0.0,0.0,1,1
1353,basketful,0.0,0.0,1,1
1354,bast,0.0,0.0,1,1
1358,battleful,0.0,0.0,1,1
1365,beadle,0.0,0.0,1,1
1366,beady,0.0,0.0,1,1
1367,bearer,0.0,0.0,1,1
1370,beatinest,0.0,0.0,1,1
1372,beaux,0.0,0.0,1,1
1378,beguile,0.0,0.0,1,1
1379,beguine,0.0,0.0,1,1
1382,bel,0.0,0.0,1,1
1386,belie,0.0,0.0,1,1
1396,bene,0.0,0.0,1,1
1397,benedight,0.0,0.0,1,1
1400,berg,0.0,0.0,1,1
1405,bes,0.0,0.0,1,1
1406,beshrew,0.0,0.0,1,1
1417,bevel,0.0,0.0,1,1
1429,biff,0.0,0.0,1,1
1430,bifurcate,0.0,0.0,1,1
1431,bigamy,0.0,0.0,1,1
1432,bight,0.0,0.0,1,1
1433,bijouterie,0.0,0.0,1,1
1436,biological,0.0,100.0,1,1
1437,birdie,0.0,0.0,1,1
1439,bisect,0.0,100.0,1,1
1440,bitch,0.0,0.0,1,1
1442,bivouac,0.0,0.0,1,1
1444,blackboard,0.0,100.0,1,1
1447,blackthorn,0.0,0.0,1,1
1450,blanc,0.0,0.0,1,1
1454,blasphemous,0.0,0.0,1,1
1455,blasphemy,0.0,0.0,1,1
1465,blotchy,0.0,100.0,1,1
1470,blur,0.0,0.0,1,1
1486,bookkeeping,0.0,0.0,1,1
1487,bookshelf,0.0,0.0,1,1
1489,boomable,0.0,0.0,1,1
1490,booth,0.0,100.0,1,1
1494,bosun,0.0,0.0,1,1
1496,bottomed,0.0,0.0,1,1
1498,boughten,0.0,0.0,1,1
1499,boulter,0.0,0.0,1,1
1502,bouser,0.0,0.0,1,1
1505,bowel,0.0,100.0,1,1
1506,bowie,0.0,0.0,1,1
1507,bowls,0.0,0.0,1,1
1509,bowstring,0.0,0.0,1,1
1510,bracer,0.0,100.0,1,1
1515,brawler,0.0,0.0,1,1
1516,bray,0.0,0.0,1,1
1518,breakneck,0.0,0.0,1,1
1519,breakup,0.0,0.0,1,1
1520,breakwater,0.0,0.0,1,1
1521,breastplate,0.0,0.0,1,1
1522,breastwork,0.0,0.0,1,1
1529,brewster,0.0,0.0,1,1
1535,broadsword,0.0,0.0,1,1
1536,broadways,0.0,100.0,1,1
1539,bronchitis,0.0,100.0,1,1
1541,bronzy,0.0,0.0,1,1
1542,brooch,0.0,100.0,1,1
1544,brougham,0.0,0.0,1,1
1546,browse,0.0,0.0,1,1
1550,brusque,0.0,0.0,1,1
1552,bucca,0.0,0.0,1,1
1554,buckshot,0.0,100.0,1,1
1555,buckwheat,0.0,100.0,1,1
1556,bucky,0.0,0.0,1,1
1557,budge,0.0,100.0,1,1
1559,bugaboo,0.0,100.0,1,1
1561,bulge,0.0,0.0,1,1
1563,bullhead,0.0,0.0,1,1
1565,bumblebee,0.0,0.0,1,1
1571,buoyant,0.0,0.0,1,1
1572,burg,0.0,100.0,1,1
1576,burr,0.0,0.0,1,1
1579,burying,0.0,100.0,1,1
1582,busybody,0.0,0.0,1,1
1583,butting,0.0,0.0,1,1
1591,cache,0.0,0.0,1,1
1592,cad,0.0,0.0,1,1
1594,caddis,0.0,100.0,1,1
1603,caisson,0.0,0.0,1,1
1605,calculus,0.0,100.0,1,1
1610,caliph,0.0,0.0,1,1
1611,calker,0.0,0.0,1,1
1613,callow,0.0,0.0,1,1
1616,calorific,0.0,100.0,1,1
1618,campaigner,0.0,100.0,1,1
1622,candied,0.0,100.0,1,1
1623,candlelight,0.0,0.0,1,1
1626,cannonade,0.0,100.0,1,1
1628,canoeist,0.0,0.0,1,1
1630,canon,0.0,100.0,1,1
1635,captious,0.0,0.0,1,1
1638,caravansary,0.0,0.0,1,1
1639,carbide,0.0,0.0,1,1
1646,carrier,0.0,100.0,1,1
1647,cartouche,0.0,0.0,1,1
1649,carve,0.0,100.0,1,1
1651,casal,0.0,0.0,1,1
1652,cased,0.0,100.0,1,1
1654,casque,0.0,0.0,1,1
1656,cassock,0.0,0.0,1,1
1663,catarrh,0.0,0.0,1,1
1664,catarrhal,0.0,0.0,1,1
1666,cathartic,0.0,0.0,1,1
1668,cathisma,0.0,0.0,1,1
1678,cede,0.0,0.0,1,1
1682,centaur,0.0,0.0,1,1
1683,centennial,0.0,0.0,1,1
1685,centigrade,0.0,100.0,1,1
1686,centric,0.0,100.0,1,1
1689,cereal,0.0,0.0,1,1
1690,ceremonious,0.0,0.0,1,1
1694,chameleon,0.0,0.0,1,1
